id,1,2,3,4,5,6,7,8,9,10,11,12,classification
DHHelitron_1_122_mnt,0.419,0.695,0.674,0.705,0.694,0.694,0.301,0.423,0.021,0.021,0.701,0.716,2.1.2
DHHelitron_1_123_mnt,0.335,0.594,0.696,0.661,0.593,0.593,0.19,0.338,0.01,0.01,0.658,0.671,2.1.2
DHHelitron_1_124_mnt,0.468,0.704,0.63,0.659,0.704,0.704,0.345,0.471,0.023,0.023,0.655,0.671,2.1.2
DHHelitron_1_125_mnt,0.413,0.694,0.61,0.663,0.693,0.693,0.323,0.418,-0.007,-0.007,0.658,0.674,2.1.2
DHHelitron_1_126_mnt,0.549,0.844,0.588,0.738,0.843,0.843,0.48,0.556,-0.004,-0.004,0.734,0.755,2.1.2
DHHelitron_1_127_mnt,0.348,0.6,0.6,0.606,0.599,0.599,0.235,0.352,-0.013,-0.013,0.602,0.616,2.1.2
DHHelitron_1_128_mnt,0.371,0.624,0.612,0.636,0.623,0.623,0.233,0.374,-0.015,-0.015,0.632,0.645,2.1.2
DHHelitron_1_129_mnt,0.45,0.691,0.597,0.641,0.69,0.69,0.296,0.454,0.008,0.008,0.637,0.653,2.1.2
DHHelitron_1_130_mnt,0.358,0.585,0.632,0.577,0.584,0.584,0.16,0.361,0.018,0.018,0.574,0.588,2.1.2
DHHelitron_1_131_mnt,0.3,0.57,0.671,0.63,0.569,0.569,0.215,0.303,0.006,0.006,0.625,0.637,2.1.2
DHHelitron_1_132_mnt,0.365,0.678,0.785,0.734,0.676,0.676,0.305,0.371,0.072,0.072,0.73,0.746,2.1.2
DHHelitron_1_133_mnt,0.478,0.734,0.595,0.66,0.733,0.733,0.328,0.482,0.029,0.029,0.656,0.673,2.1.2
DHHelitron_1_134_mnt,0.445,0.696,0.596,0.644,0.696,0.696,0.329,0.45,0.008,0.008,0.64,0.656,2.1.2
DHHelitron_1_135_mnt,0.404,0.689,0.656,0.679,0.687,0.687,0.32,0.409,0.011,0.011,0.675,0.691,2.1.2
DHHelitron_1_136_mnt,0.359,0.616,0.597,0.614,0.615,0.615,0.288,0.363,-0.008,-0.008,0.61,0.623,2.1.2
DHHelitron_1_137_mnt,0.411,0.702,0.64,0.679,0.701,0.701,0.337,0.417,0.008,0.008,0.675,0.691,2.1.2
DHHelitron_1_138_mnt,0.403,0.662,0.617,0.642,0.661,0.661,0.271,0.407,-0.002,-0.002,0.638,0.652,2.1.2
DHHelitron_1_139_mnt,0.372,0.678,0.744,0.752,0.676,0.676,0.323,0.377,0.061,0.061,0.748,0.763,2.1.2
DHHelitron_1_140_mnt,0.398,0.69,0.649,0.705,0.689,0.689,0.297,0.403,0.012,0.012,0.7,0.716,2.1.2
DHHelitron_1_141_mnt,0.458,0.742,0.628,0.703,0.742,0.742,0.326,0.463,0.015,0.015,0.699,0.717,2.1.2
DHHelitron_1_142_mnt,0.385,0.696,0.714,0.737,0.694,0.694,0.266,0.389,0.039,0.039,0.734,0.746,2.1.2
DHHelitron_1_143_mnt,0.373,0.626,0.594,0.618,0.624,0.624,0.245,0.376,-0.021,-0.021,0.613,0.627,2.1.2
DHHelitron_1_144_mnt,0.264,0.565,0.754,0.697,0.563,0.563,0.18,0.268,0.043,0.043,0.692,0.703,2.1.2
DHHelitron_1_145_mnt,0.324,0.569,0.592,0.597,0.568,0.568,0.182,0.327,-0.011,-0.011,0.593,0.606,2.1.2
DHHelitron_1_146_mnt,0.39,0.714,0.65,0.753,0.712,0.712,0.298,0.394,0.042,0.042,0.75,0.767,2.1.2
DHHelitron_1_147_mnt,0.433,0.694,0.604,0.664,0.693,0.693,0.31,0.437,-0.013,-0.013,0.66,0.675,2.1.2
DHHelitron_1_148_mnt,0.294,0.561,0.693,0.645,0.559,0.559,0.241,0.297,0.0,0.0,0.641,0.651,2.1.2
DHHelitron_1_149_mnt,0.328,0.559,0.665,0.599,0.558,0.558,0.324,0.331,0.009,0.009,0.595,0.606,2.1.2
DHHelitron_1_150_mnt,0.299,0.581,0.711,0.678,0.579,0.579,0.236,0.303,0.027,0.027,0.673,0.685,2.1.2
DHHelitron_1_151_mnt,0.502,0.797,0.673,0.744,0.796,0.796,0.383,0.508,0.042,0.042,0.74,0.759,2.1.2
DHHelitron_1_152_mnt,0.422,0.692,0.589,0.657,0.691,0.691,0.335,0.427,-0.004,-0.004,0.653,0.67,2.1.2
DHHelitron_1_153_mnt,0.397,0.672,0.59,0.642,0.671,0.671,0.286,0.402,-0.015,-0.015,0.638,0.654,2.1.2
DHHelitron_1_154_mnt,0.373,0.648,0.648,0.664,0.647,0.647,0.246,0.378,0.004,0.004,0.66,0.675,2.1.2
DHHelitron_1_155_mnt,0.362,0.64,0.621,0.64,0.638,0.638,0.28,0.367,0.001,0.001,0.635,0.65,2.1.2
DHHelitron_1_156_mnt,0.361,0.648,0.632,0.628,0.647,0.647,0.271,0.365,-0.017,-0.017,0.623,0.637,2.1.2
DHHelitron_1_157_mnt,0.503,0.753,0.618,0.649,0.752,0.752,0.448,0.509,0.033,0.033,0.644,0.663,2.1.2
DHHelitron_1_158_mnt,0.315,0.598,0.669,0.627,0.596,0.596,0.236,0.319,0.003,0.003,0.623,0.636,2.1.2
DHHelitron_1_159_mnt,0.36,0.643,0.657,0.657,0.641,0.641,0.271,0.365,0.007,0.007,0.652,0.666,2.1.2
DHHelitron_1_160_mnt,0.499,0.783,0.605,0.705,0.782,0.782,0.398,0.505,0.017,0.017,0.701,0.72,2.1.2
DHHelitron_1_161_mnt,0.4,0.654,0.65,0.651,0.653,0.653,0.302,0.404,0.014,0.014,0.647,0.661,2.1.2
DHHelitron_1_162_mnt,0.372,0.684,0.62,0.68,0.683,0.683,0.309,0.378,-0.007,-0.007,0.676,0.692,2.1.2
DHHelitron_1_163_mnt,0.344,0.631,0.699,0.679,0.63,0.63,0.241,0.349,0.015,0.015,0.675,0.688,2.1.2
DHHelitron_1_164_mnt,0.279,0.578,0.853,0.744,0.575,0.575,0.326,0.283,0.07,0.07,0.739,0.748,2.1.2
DHHelitron_1_165_mnt,0.132,0.366,0.65,0.513,0.364,0.364,0.095,0.133,-0.023,-0.023,0.509,0.513,2.1.2
DHHelitron_1_166_mnt,0.357,0.664,0.732,0.706,0.663,0.663,0.296,0.362,0.044,0.044,0.701,0.715,2.1.2
DHHelitron_1_167_mnt,0.368,0.642,0.657,0.657,0.641,0.641,0.254,0.371,0.0,0.0,0.653,0.667,2.1.2
DHHelitron_1_168_mnt,0.479,0.741,0.583,0.67,0.74,0.74,0.378,0.483,0.018,0.018,0.666,0.683,2.1.2
DHHelitron_1_169_mnt,0.303,0.571,0.649,0.607,0.57,0.57,0.235,0.306,-0.002,-0.002,0.603,0.615,2.1.2
DHHelitron_1_170_mnt,0.369,0.655,0.673,0.677,0.654,0.654,0.27,0.374,0.02,0.02,0.673,0.688,2.1.2
DHHelitron_1_171_mnt,0.392,0.676,0.626,0.661,0.675,0.675,0.266,0.397,-0.004,-0.004,0.657,0.671,2.1.2
DHHelitron_1_172_mnt,0.352,0.622,0.611,0.619,0.621,0.621,0.246,0.356,-0.018,-0.018,0.614,0.628,2.1.2
DHHelitron_1_173_mnt,0.477,0.799,0.704,0.782,0.798,0.798,0.406,0.484,0.05,0.05,0.778,0.797,2.1.2
DHHelitron_1_174_mnt,0.401,0.676,0.604,0.653,0.675,0.675,0.247,0.406,-0.019,-0.019,0.649,0.666,2.1.2
DHHelitron_1_175_mnt,0.384,0.652,0.641,0.65,0.651,0.651,0.277,0.388,0.018,0.018,0.645,0.661,2.1.2
DHHelitron_1_176_mnt,0.402,0.667,0.613,0.64,0.666,0.666,0.217,0.407,-0.006,-0.006,0.635,0.65,2.1.2
