attr2888,attr2889,attr2890,attr2891,attr2892,attr2893,attr2894,attr2895,attr2896,attr2897,attr2898,attr2899,id,classification
-0.36,0.246,0.482,0.669,0.581,0.481,0.481,0.23,0.247,0.003,0.003,0.576,Jockey-11_DAn,1.2.5
-0.278,0.086,0.31,0.588,0.471,0.309,0.309,0.106,0.086,-0.055,-0.055,0.468,Jockey-11_DBp,1.2.5
-0.265,0.114,0.346,0.608,0.487,0.345,0.345,0.13,0.114,-0.045,-0.045,0.483,Jockey-11_DF,1.2.5
-0.297,0.185,0.461,0.608,0.566,0.46,0.46,0.167,0.187,-0.015,-0.015,0.563,Jockey-12_AAe,1.2.5
-0.259,0.21,0.497,0.659,0.598,0.496,0.496,0.213,0.213,-0.028,-0.028,0.594,Jockey-12_DAn,1.2.5
-0.25,0.065,0.331,0.664,0.518,0.329,0.329,0.136,0.067,-0.01,-0.01,0.515,Jockey-12_DBp,1.2.5
-0.371,0.214,0.443,0.636,0.553,0.442,0.442,0.193,0.215,-0.006,-0.006,0.55,Jockey-12_DF,1.2.5
-0.257,0.09,0.306,0.567,0.441,0.305,0.305,0.126,0.09,-0.05,-0.05,0.439,Jockey-13_AAe,1.2.5
-0.313,0.197,0.433,0.558,0.531,0.431,0.431,0.172,0.198,-0.055,-0.055,0.528,Jockey-13_DAn,1.2.5
-0.386,0.296,0.557,0.632,0.631,0.555,0.555,0.253,0.299,0.02,0.02,0.628,Jockey-13_DBp,1.2.5
-0.307,0.245,0.505,0.592,0.566,0.504,0.504,0.19,0.248,-0.02,-0.02,0.563,Jockey-14_AAe,1.2.5
-0.322,0.156,0.43,0.675,0.559,0.429,0.429,0.233,0.158,0.0,0.0,0.555,Jockey-14_DAn,1.2.5
-0.318,0.187,0.462,0.668,0.577,0.461,0.461,0.234,0.189,0.003,0.003,0.572,Jockey-14_DBp,1.2.5
-0.265,0.092,0.314,0.641,0.451,0.313,0.313,0.118,0.093,-0.027,-0.027,0.448,Jockey-15_AAe,1.2.5
-0.313,0.177,0.405,0.586,0.505,0.403,0.403,0.135,0.177,-0.022,-0.022,0.502,Jockey-15_DBp,1.2.5
-0.289,0.192,0.438,0.539,0.513,0.437,0.437,0.177,0.194,-0.051,-0.051,0.511,Jockey-16_AAe,1.2.5
-0.3,0.158,0.422,0.658,0.552,0.421,0.421,0.206,0.16,0.012,0.012,0.549,Jockey-17_AAe,1.2.5
-0.302,0.148,0.356,0.769,0.599,0.354,0.354,0.132,0.149,0.042,0.042,0.596,Jockey-1B_Hmel,1.2.5
-0.425,0.05,0.229,0.651,0.382,0.228,0.228,0.035,0.05,0.005,0.005,0.378,Jockey-1B_LMi,1.2.5
-0.257,0.214,0.488,0.625,0.55,0.487,0.487,0.164,0.217,-0.027,-0.027,0.546,Jockey-1_CQ,1.2.5
-0.329,0.253,0.525,0.617,0.601,0.524,0.524,0.237,0.255,-0.014,-0.014,0.597,Jockey-1_DAn,1.2.5
-0.342,0.243,0.494,0.597,0.552,0.492,0.492,0.259,0.246,-0.055,-0.055,0.547,Jockey-1_DBi,1.2.5
-0.294,0.21,0.467,0.619,0.56,0.465,0.465,0.217,0.212,-0.015,-0.015,0.556,Jockey-1_DBp,1.2.5
-0.322,0.266,0.526,0.575,0.58,0.524,0.524,0.228,0.269,-0.04,-0.04,0.575,Jockey-1_DEl,1.2.5
-0.291,0.094,0.308,0.549,0.429,0.307,0.307,0.113,0.094,-0.082,-0.082,0.424,Jockey-1_DEr,1.2.5
-0.328,0.192,0.452,0.669,0.567,0.451,0.451,0.217,0.194,-0.001,-0.001,0.563,Jockey-1_DEu,1.2.5
-0.333,0.191,0.45,0.666,0.563,0.448,0.448,0.2,0.193,0.003,0.003,0.56,Jockey-1_DF,1.2.5
-0.342,0.118,0.376,0.64,0.529,0.374,0.374,0.136,0.119,-0.03,-0.03,0.525,Jockey-1_DGri,1.2.5
-0.306,0.164,0.409,0.601,0.512,0.407,0.407,0.157,0.165,-0.03,-0.03,0.509,Jockey-1_DK,1.2.5
-0.339,0.161,0.442,0.704,0.594,0.44,0.44,0.19,0.163,0.018,0.018,0.589,Jockey-1_DPer,1.2.5
-0.251,0.144,0.386,0.603,0.504,0.384,0.384,0.11,0.145,-0.036,-0.036,0.5,Jockey-1_DRh,1.2.5
-0.36,0.312,0.594,0.626,0.64,0.593,0.593,0.262,0.315,-0.003,-0.003,0.636,Jockey-1_Dro,1.2.5
-0.261,0.072,0.283,0.557,0.417,0.282,0.282,0.106,0.072,-0.043,-0.043,0.413,Jockey-1_DSe,1.2.5
-0.281,0.041,0.228,0.601,0.411,0.227,0.227,0.084,0.04,-0.043,-0.043,0.408,Jockey-1_DSi,1.2.5
-0.298,0.137,0.361,0.62,0.492,0.36,0.36,0.152,0.138,-0.023,-0.023,0.489,Jockey-1_DT,1.2.5
-0.314,0.161,0.376,0.621,0.501,0.375,0.375,0.18,0.162,-0.042,-0.042,0.497,Jockey-1_DVi,1.2.5
-0.318,0.175,0.446,0.654,0.567,0.445,0.445,0.212,0.177,-0.006,-0.006,0.564,Jockey-1_DWi,1.2.5
-0.326,0.201,0.45,0.68,0.559,0.449,0.449,0.199,0.203,0.005,0.005,0.555,Jockey-1_DYa,1.2.5
-0.307,0.142,0.352,0.838,0.595,0.351,0.351,0.134,0.143,0.081,0.081,0.592,Jockey-1_Hmel,1.2.5
-0.383,0.035,0.201,0.638,0.367,0.201,0.201,0.047,0.035,-0.03,-0.03,0.364,Jockey-1_LMi,1.2.5
-0.363,0.218,0.466,0.601,0.53,0.464,0.464,0.236,0.221,-0.084,-0.084,0.526,Jockey-1_LVa,1.2.5
-0.328,0.145,0.341,0.716,0.523,0.339,0.339,0.114,0.144,0.036,0.036,0.519,Jockey-1_PPo,1.2.5
-0.207,0.123,0.4,0.668,0.565,0.397,0.397,0.191,0.125,-0.049,-0.049,0.559,Jockey-1_PXu,1.2.5
-0.336,0.225,0.461,0.549,0.504,0.46,0.46,0.2,0.228,-0.093,-0.093,0.5,Jockey-1_RPr,1.2.5
-0.237,0.115,0.342,0.612,0.462,0.341,0.341,0.119,0.116,-0.019,-0.019,0.459,Jockey-1_TCa,1.2.5
-0.477,0.153,0.358,0.777,0.517,0.357,0.357,0.08,0.154,0.006,0.006,0.513,Jockey-2B_LMi,1.2.5
-0.241,0.071,0.259,0.562,0.383,0.259,0.259,0.11,0.071,-0.059,-0.059,0.381,Jockey-2_CQ,1.2.5
-0.278,0.108,0.348,0.647,0.492,0.347,0.347,0.125,0.108,-0.021,-0.021,0.489,Jockey-2_DAn,1.2.5
-0.316,0.134,0.387,0.625,0.539,0.385,0.385,0.137,0.135,-0.016,-0.016,0.535,Jockey-2_DBi,1.2.5
-0.303,0.212,0.438,0.586,0.52,0.436,0.436,0.196,0.213,-0.041,-0.041,0.516,Jockey-2_DBp,1.2.5
-0.308,0.226,0.506,0.678,0.607,0.505,0.505,0.239,0.229,0.005,0.005,0.603,Jockey-2_DEl,1.2.5
-0.337,0.235,0.483,0.669,0.58,0.482,0.482,0.212,0.237,-0.004,-0.004,0.576,Jockey-2_DEu,1.2.5
-0.35,0.226,0.491,0.627,0.587,0.49,0.49,0.254,0.229,-0.023,-0.023,0.583,Jockey-2_DF,1.2.5
-0.299,0.122,0.324,0.586,0.446,0.323,0.323,0.069,0.122,-0.058,-0.058,0.442,Jockey-2_DGri,1.2.5
-0.327,0.201,0.464,0.659,0.563,0.462,0.462,0.218,0.203,-0.008,-0.008,0.559,Jockey-2_DK,1.2.5
-0.317,0.098,0.307,0.655,0.466,0.305,0.305,0.103,0.098,-0.024,-0.024,0.462,Jockey-2_DPer,1.2.5
-0.343,0.17,0.413,0.668,0.55,0.411,0.411,0.182,0.171,0.001,0.001,0.546,Jockey-2_DRh,1.2.5
-0.258,0.061,0.237,0.509,0.353,0.236,0.236,0.085,0.06,-0.12,-0.12,0.35,Jockey-2_DSim,1.2.5
-0.276,0.182,0.441,0.661,0.55,0.44,0.44,0.12,0.184,-0.009,-0.009,0.546,Jockey-2_DT,1.2.5
-0.336,0.215,0.448,0.658,0.555,0.447,0.447,0.213,0.216,-0.006,-0.006,0.552,Jockey-2_DVi,1.2.5
-0.242,0.265,0.551,0.638,0.588,0.55,0.55,0.284,0.27,-0.014,-0.014,0.583,Jockey-2_DYa,1.2.5
-0.294,-0.029,0.121,0.534,0.318,0.12,0.12,0.037,-0.03,-0.054,-0.054,0.316,Jockey-2_Hmel,1.2.5
-0.288,-0.035,0.069,0.515,0.275,0.068,0.068,0.002,-0.037,-0.05,-0.05,0.274,Jockey-2_HMM,1.2.5
-0.379,0.068,0.248,0.627,0.409,0.247,0.247,0.079,0.068,-0.033,-0.033,0.405,Jockey-2_LMi,1.2.5
-0.255,0.443,0.713,0.632,0.667,0.711,0.711,0.328,0.448,-0.032,-0.032,0.662,Jockey-2_PPo,1.2.5
-0.319,0.181,0.416,0.562,0.489,0.415,0.415,0.15,0.183,-0.102,-0.102,0.485,Jockey-2_RPr,1.2.5
-0.385,0.116,0.303,0.702,0.435,0.302,0.302,0.109,0.117,0.015,0.015,0.431,Jockey-3B_LMi,1.2.5
-0.242,0.368,0.668,0.612,0.649,0.667,0.667,0.226,0.372,0.006,0.006,0.645,Jockey-3_CQ,1.2.5
-0.29,0.15,0.438,0.696,0.56,0.437,0.437,0.187,0.152,0.004,0.004,0.555,Jockey-3_DAn,1.2.5
-0.274,0.135,0.407,0.688,0.557,0.405,0.405,0.17,0.136,0.017,0.017,0.554,Jockey-3_DBp,1.2.5
-0.26,0.136,0.387,0.623,0.516,0.385,0.385,0.103,0.137,-0.023,-0.023,0.512,Jockey-3_DEl,1.2.5
-0.293,0.16,0.392,0.621,0.521,0.39,0.39,0.151,0.161,-0.028,-0.028,0.517,Jockey-3_DEu,1.2.5
-0.302,0.115,0.325,0.573,0.465,0.323,0.323,0.129,0.115,-0.057,-0.057,0.461,Jockey-3_DF,1.2.5
-0.37,0.32,0.674,0.829,0.763,0.672,0.672,0.334,0.325,0.039,0.039,0.758,Jockey-3_DGri,1.2.5
-0.253,0.127,0.347,0.613,0.471,0.345,0.345,0.128,0.127,-0.048,-0.048,0.467,Jockey-3_DK,1.2.5
-0.31,0.165,0.456,0.701,0.579,0.455,0.455,0.205,0.167,-0.01,-0.01,0.575,Jockey-3_DPer,1.2.5
-0.337,0.209,0.456,0.667,0.579,0.454,0.454,0.192,0.211,-0.007,-0.007,0.575,Jockey-3_DRh,1.2.5
-0.303,0.138,0.388,0.621,0.523,0.386,0.386,0.159,0.139,-0.036,-0.036,0.519,Jockey-3_DSim,1.2.5
-0.306,0.199,0.476,0.645,0.58,0.474,0.474,0.22,0.201,-0.01,-0.01,0.576,Jockey-3_DT,1.2.5
-0.344,0.186,0.441,0.686,0.585,0.44,0.44,0.164,0.187,-0.006,-0.006,0.581,Jockey-3_DVi,1.2.5
-0.279,0.271,0.555,0.736,0.637,0.554,0.554,0.291,0.275,0.052,0.052,0.632,Jockey-3_DYa,1.2.5
-0.304,0.111,0.343,0.743,0.552,0.342,0.342,0.144,0.112,0.042,0.042,0.549,Jockey-3_Hmel,1.2.5
-0.296,0.017,0.215,0.594,0.415,0.214,0.214,0.082,0.017,-0.032,-0.032,0.411,Jockey-3_HMM,1.2.5
-0.384,0.04,0.185,0.606,0.346,0.185,0.185,0.053,0.039,-0.036,-0.036,0.343,Jockey-3_LMi,1.2.5
-0.317,0.179,0.422,0.545,0.501,0.421,0.421,0.153,0.182,-0.09,-0.09,0.497,Jockey-3_RPr,1.2.5
-0.308,0.135,0.381,0.637,0.519,0.38,0.38,0.188,0.137,-0.018,-0.018,0.515,Jockey-4B_DVi,1.2.5
-0.215,0.076,0.287,0.589,0.422,0.286,0.286,0.113,0.077,-0.042,-0.042,0.418,Jockey-4_CQ,1.2.5
-0.342,0.205,0.433,0.659,0.561,0.431,0.431,0.195,0.206,-0.002,-0.002,0.557,Jockey-4_DAn,1.2.5
-0.309,0.09,0.304,0.579,0.463,0.303,0.303,0.127,0.09,-0.046,-0.046,0.459,Jockey-4_DBp,1.2.5
-0.325,0.183,0.402,0.639,0.52,0.4,0.4,0.144,0.183,-0.03,-0.03,0.516,Jockey-4_DEl,1.2.5
-0.346,0.254,0.512,0.609,0.573,0.511,0.511,0.222,0.256,-0.017,-0.017,0.569,Jockey-4_DEu,1.2.5
-0.346,0.202,0.467,0.668,0.58,0.465,0.465,0.221,0.204,-0.011,-0.011,0.576,Jockey-4_DF,1.2.5
-0.291,0.205,0.446,0.598,0.532,0.445,0.445,0.141,0.207,-0.039,-0.039,0.527,Jockey-4_DK,1.2.5
-0.318,0.21,0.486,0.622,0.583,0.484,0.484,0.217,0.212,-0.023,-0.023,0.579,Jockey-4_DPer,1.2.5
-0.324,0.189,0.444,0.693,0.576,0.442,0.442,0.191,0.19,0.008,0.008,0.572,Jockey-4_DRh,1.2.5
-0.343,0.336,0.601,0.659,0.641,0.6,0.6,0.276,0.339,0.026,0.026,0.637,Jockey-4_DSim,1.2.5
-0.33,0.186,0.428,0.672,0.563,0.426,0.426,0.182,0.187,0.005,0.005,0.559,Jockey-4_DT,1.2.5
-0.309,0.153,0.414,0.651,0.547,0.413,0.413,0.197,0.155,-0.012,-0.012,0.544,Jockey-4_DVi,1.2.5
-0.32,0.135,0.383,0.624,0.535,0.381,0.381,0.124,0.136,-0.013,-0.013,0.531,Jockey-4_DYa,1.2.5
-0.316,0.261,0.534,0.601,0.602,0.533,0.533,0.256,0.265,-0.023,-0.023,0.597,Jockey-4_Hmel,1.2.5
-0.308,0.145,0.366,0.828,0.607,0.365,0.365,0.154,0.146,0.08,0.08,0.604,Jockey-4_HMM,1.2.5
-0.278,0.055,0.279,0.557,0.422,0.279,0.279,0.118,0.055,-0.062,-0.062,0.419,Jockey-4_LMi,1.2.5
-0.291,0.168,0.402,0.503,0.468,0.401,0.401,0.151,0.171,-0.132,-0.132,0.465,Jockey-4_RPr,1.2.5
-0.281,-0.027,0.114,0.55,0.327,0.113,0.113,0.04,-0.028,-0.027,-0.027,0.324,Jockey-5B_HMM,1.2.5
-0.234,0.069,0.242,0.555,0.357,0.241,0.241,0.086,0.069,-0.046,-0.046,0.354,Jockey-5_CQ,1.2.5
-0.287,0.213,0.457,0.629,0.549,0.456,0.456,0.172,0.215,-0.015,-0.015,0.545,Jockey-5_DAn,1.2.5
-0.353,0.193,0.443,0.61,0.551,0.442,0.442,0.213,0.195,-0.033,-0.033,0.548,Jockey-5_DBp,1.2.5
-0.349,0.214,0.443,0.629,0.545,0.441,0.441,0.189,0.216,-0.025,-0.025,0.541,Jockey-5_DEl,1.2.5
-0.317,0.18,0.459,0.673,0.603,0.458,0.458,0.184,0.182,0.007,0.007,0.599,Jockey-5_DEu,1.2.5
-0.344,0.225,0.458,0.639,0.55,0.457,0.457,0.196,0.227,-0.023,-0.023,0.546,Jockey-5_DF,1.2.5
-0.319,0.115,0.377,0.617,0.545,0.376,0.376,0.188,0.117,-0.026,-0.026,0.541,Jockey-5_DK,1.2.5
-0.314,0.143,0.372,0.621,0.503,0.37,0.37,0.15,0.143,-0.025,-0.025,0.499,Jockey-5_DPer,1.2.5
-0.369,0.195,0.442,0.672,0.579,0.44,0.44,0.18,0.196,0.012,0.012,0.575,Jockey-5_DTa,1.2.5
-0.361,0.192,0.454,0.743,0.617,0.452,0.452,0.175,0.193,0.047,0.047,0.614,Jockey-5_DVi,1.2.5
-0.299,0.17,0.416,0.631,0.552,0.415,0.415,0.181,0.171,-0.003,-0.003,0.548,Jockey-5_DYa,1.2.5
-0.322,0.212,0.442,0.574,0.519,0.441,0.441,0.185,0.213,-0.052,-0.052,0.514,Jockey-5_Hmel,1.2.5
-0.397,0.073,0.248,0.654,0.398,0.248,0.248,0.07,0.073,-0.008,-0.008,0.395,Jockey-5_LMi,1.2.5
-0.305,0.187,0.359,0.455,0.379,0.358,0.358,0.141,0.187,-0.118,-0.118,0.376,Jockey-5_RPr,1.2.5
-0.237,0.102,0.325,0.613,0.449,0.324,0.324,0.121,0.103,-0.038,-0.038,0.446,Jockey-6_CQ,1.2.5
-0.305,0.138,0.355,0.595,0.483,0.353,0.353,0.154,0.139,-0.046,-0.046,0.479,Jockey-6_DAn,1.2.5
-0.342,0.206,0.436,0.627,0.535,0.435,0.435,0.181,0.208,-0.032,-0.032,0.531,Jockey-6_DBp,1.2.5
-0.336,0.187,0.459,0.686,0.595,0.457,0.457,0.217,0.189,0.003,0.003,0.591,Jockey-6_DEl,1.2.5
-0.301,0.123,0.338,0.601,0.473,0.337,0.337,0.143,0.124,-0.03,-0.03,0.469,Jockey-6_DEu,1.2.5
-0.302,0.204,0.444,0.594,0.534,0.442,0.442,0.179,0.206,-0.032,-0.032,0.531,Jockey-6_DF,1.2.5
-0.305,0.17,0.407,0.614,0.508,0.406,0.406,0.158,0.171,-0.032,-0.032,0.504,Jockey-6_DK,1.2.5
-0.308,0.255,0.55,0.686,0.631,0.548,0.548,0.252,0.259,0.009,0.009,0.627,Jockey-6_DPer,1.2.5
-0.303,0.127,0.337,0.593,0.468,0.335,0.335,0.143,0.127,-0.045,-0.045,0.464,Jockey-6_DRh,1.2.5
-0.261,0.17,0.43,0.643,0.558,0.428,0.428,0.125,0.172,-0.023,-0.023,0.554,Jockey-6_DTa,1.2.5
-0.294,0.172,0.42,0.605,0.526,0.419,0.419,0.167,0.174,-0.051,-0.051,0.522,Jockey-6_DVi,1.2.5
-0.335,0.21,0.495,0.637,0.59,0.493,0.493,0.238,0.213,-0.022,-0.022,0.585,Jockey-6_DYa,1.2.5
-0.349,0.19,0.406,0.526,0.468,0.405,0.405,0.152,0.191,-0.074,-0.074,0.464,Jockey-6_Hmel,1.2.5
-0.378,0.062,0.239,0.603,0.383,0.238,0.238,0.083,0.062,-0.038,-0.038,0.38,Jockey-6_LMi,1.2.5
-0.319,0.203,0.422,0.562,0.488,0.42,0.42,0.167,0.205,-0.077,-0.077,0.484,Jockey-6_RPr,1.2.5
-0.249,0.108,0.315,0.554,0.419,0.314,0.314,0.129,0.109,-0.076,-0.076,0.416,Jockey-7_CQ,1.2.5
-0.343,0.185,0.441,0.61,0.545,0.44,0.44,0.203,0.187,-0.041,-0.041,0.541,Jockey-7_DAn,1.2.5
-0.285,0.291,0.627,0.735,0.694,0.626,0.626,0.313,0.296,0.037,0.037,0.69,Jockey-7_DEl,1.2.5
-0.325,0.277,0.547,0.617,0.595,0.546,0.546,0.226,0.28,-0.018,-0.018,0.591,Jockey-7_DEu,1.2.5
-0.345,0.215,0.476,0.659,0.591,0.475,0.475,0.225,0.218,-0.01,-0.01,0.587,Jockey-7_DF,1.2.5
-0.33,0.244,0.517,0.544,0.55,0.516,0.516,0.187,0.247,-0.067,-0.067,0.546,Jockey-7_DK,1.2.5
-0.329,0.209,0.444,0.636,0.558,0.443,0.443,0.217,0.211,-0.03,-0.03,0.554,Jockey-7_DPer,1.2.5
-0.352,0.176,0.425,0.606,0.542,0.423,0.423,0.19,0.177,-0.038,-0.038,0.539,Jockey-7_DRh,1.2.5
-0.342,0.114,0.351,0.569,0.473,0.35,0.35,0.143,0.114,-0.056,-0.056,0.469,Jockey-7_DVi,1.2.5
-0.284,0.043,0.249,0.628,0.447,0.248,0.248,0.101,0.042,-0.016,-0.016,0.444,Jockey-7_DYa,1.2.5
-0.282,-0.015,0.138,0.555,0.335,0.137,0.137,0.046,-0.016,-0.046,-0.046,0.332,Jockey-7_Hmel,1.2.5
-0.314,0.221,0.454,0.574,0.53,0.453,0.453,0.162,0.222,-0.054,-0.054,0.525,Jockey-7_HMM,1.2.5
-0.391,0.028,0.207,0.659,0.397,0.206,0.206,0.057,0.028,-0.0,-0.0,0.394,Jockey-7_LMi,1.2.5
-0.337,0.188,0.431,0.638,0.544,0.429,0.429,0.168,0.189,-0.058,-0.058,0.54,Jockey-7_RPr,1.2.5
-0.218,0.135,0.36,0.589,0.461,0.359,0.359,0.136,0.136,-0.045,-0.045,0.458,Jockey-8_CQ,1.2.5
-0.317,0.171,0.44,0.654,0.565,0.439,0.439,0.216,0.173,-0.003,-0.003,0.561,Jockey-8_DAn,1.2.5
-0.299,0.181,0.413,0.572,0.508,0.412,0.412,0.145,0.182,-0.042,-0.042,0.504,Jockey-8_DEu,1.2.5
-0.342,0.152,0.402,0.633,0.554,0.401,0.401,0.163,0.154,-0.009,-0.009,0.551,Jockey-8_DF,1.2.5
-0.312,0.169,0.437,0.609,0.539,0.436,0.436,0.183,0.171,-0.038,-0.038,0.536,Jockey-8_DPer,1.2.5
-0.357,0.194,0.427,0.644,0.557,0.425,0.425,0.177,0.195,-0.0,-0.0,0.553,Jockey-8_DRh,1.2.5
-0.289,0.178,0.443,0.658,0.572,0.441,0.441,0.18,0.18,-0.007,-0.007,0.568,Jockey-8_DVi,1.2.5
-0.29,0.191,0.464,0.624,0.572,0.462,0.462,0.184,0.193,-0.015,-0.015,0.568,Jockey-8_DYa,1.2.5
-0.345,0.23,0.47,0.662,0.57,0.468,0.468,0.215,0.232,0.007,0.007,0.565,Jockey-8_Hmel,1.2.5
-0.282,0.019,0.184,0.563,0.377,0.183,0.183,0.021,0.017,-0.037,-0.037,0.375,Jockey-8_HMM,1.2.5
-0.35,0.091,0.283,0.567,0.42,0.282,0.282,0.135,0.091,-0.085,-0.085,0.416,Jockey-8_LMi,1.2.5
-0.36,0.167,0.388,0.611,0.504,0.387,0.387,0.129,0.168,-0.015,-0.015,0.501,Jockey-8_RPr,1.2.5
-0.279,0.221,0.494,0.59,0.562,0.493,0.493,0.22,0.224,-0.03,-0.03,0.558,Jockey-9_DAn,1.2.5
-0.362,0.286,0.619,0.645,0.666,0.618,0.618,0.346,0.29,-0.005,-0.005,0.663,Jockey-9_DBp,1.2.5
-0.344,0.168,0.34,0.542,0.425,0.339,0.339,0.1,0.166,-0.063,-0.063,0.423,Jockey-9_DEu,1.2.5
-0.308,0.112,0.329,0.591,0.474,0.328,0.328,0.136,0.113,-0.048,-0.048,0.471,Jockey-9_DF,1.2.5
-0.303,0.098,0.38,0.668,0.553,0.379,0.379,0.179,0.099,-0.016,-0.016,0.548,Jockey-9_DPer,1.2.5
-0.336,0.163,0.409,0.64,0.533,0.408,0.408,0.19,0.164,-0.014,-0.014,0.53,Jockey-9_DRh,1.2.5
-0.282,0.223,0.498,0.627,0.567,0.497,0.497,0.217,0.226,-0.02,-0.02,0.562,Jockey-9_DY,1.2.5
-0.296,0.027,0.204,0.572,0.373,0.203,0.203,0.079,0.026,-0.048,-0.048,0.37,Jockey-9_LMi,1.2.5
-0.242,0.287,0.6,0.609,0.618,0.599,0.599,0.221,0.293,-0.041,-0.041,0.613,Jockey-N1_CQ,1.2.5
-0.367,0.226,0.55,0.775,0.69,0.548,0.548,0.281,0.229,0.043,0.043,0.686,Jockey-N1_DVi,1.2.5
-0.263,0.185,0.466,0.707,0.561,0.465,0.465,0.23,0.189,0.001,0.001,0.558,Jockey-N2_CQ,1.2.5
-0.216,0.124,0.389,0.663,0.504,0.388,0.388,0.193,0.127,-0.029,-0.029,0.5,Jockey-N3_CQ,1.2.5
-0.273,0.142,0.422,0.739,0.576,0.421,0.421,0.219,0.145,0.024,0.024,0.573,Jockey-N4_CQ,1.2.5
-0.231,0.189,0.461,0.738,0.576,0.46,0.46,0.207,0.192,0.021,0.021,0.573,Jockey-N5_CQ,1.2.5
-0.194,0.153,0.381,0.663,0.457,0.38,0.38,0.166,0.155,-0.017,-0.017,0.453,Jockey-N6B_CQ,1.2.5
-0.218,0.1,0.334,0.644,0.457,0.333,0.333,0.148,0.102,-0.018,-0.018,0.453,Jockey-N6C_CQ,1.2.5
-0.185,0.109,0.377,0.66,0.502,0.376,0.376,0.153,0.112,-0.024,-0.024,0.498,Jockey-N6_CQ,1.2.5
-0.274,0.144,0.414,0.68,0.536,0.413,0.413,0.175,0.146,0.008,0.008,0.532,Jockey-N7_CQ,1.2.5
-0.241,0.207,0.485,0.693,0.559,0.484,0.484,0.228,0.211,-0.004,-0.004,0.556,Jockey-N8_CQ,1.2.5
-0.287,0.223,0.495,0.628,0.578,0.493,0.493,0.205,0.225,-0.026,-0.026,0.574,JOCKEY2,1.2.5
-0.276,0.187,0.458,0.619,0.548,0.457,0.457,0.194,0.189,-0.005,-0.005,0.544,Jockey_Ele10,1.2.5
-0.281,0.221,0.504,0.601,0.564,0.503,0.503,0.208,0.225,-0.019,-0.019,0.56,Jockey_Ele2,1.2.5
-0.301,0.211,0.452,0.541,0.511,0.451,0.451,0.155,0.213,-0.059,-0.059,0.508,Jockey_Ele3,1.2.5
-0.282,0.115,0.352,0.601,0.486,0.351,0.351,0.146,0.116,-0.037,-0.037,0.483,Jockey_Ele5,1.2.5
-0.284,0.103,0.325,0.666,0.477,0.324,0.324,0.12,0.103,-0.002,-0.002,0.475,Jockey_Ele7,1.2.5
-0.24,0.081,0.298,0.637,0.441,0.297,0.297,0.127,0.081,-0.018,-0.018,0.437,Jockey_Ele8,1.2.5
-0.33,0.136,0.338,0.734,0.533,0.337,0.337,0.123,0.136,0.042,0.042,0.53,L1BM,1.2.5
